Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
100,8,7,0,Win-Shift Lose-Stay: D,Tit For Tat,DCCD,13,5,4,3.25,1.25,1,False,2,1,1,2,0,0,1,1,0,1,0,0,0,0
101,7,8,1,Tit For Tat,Win-Shift Lose-Stay: D,CDCC,8,-5,4,2.0,-1.25,0,True,3,1,2,1,0,1,0,0,1,1,0,0,0,1
101,8,7,1,Win-Shift Lose-Stay: D,Tit For Tat,DCCD,13,5,4,3.25,1.25,1,False,2,1,1,2,0,0,1,1,0,1,0,0,0,0
102,7,9,0,Tit For Tat,Win-Stay Lose-Shift,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
102,9,7,0,Win-Stay Lose-Shift,Tit For Tat,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
103,7,9,1,Tit For Tat,Win-Stay Lose-Shift,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
103,9,7,1,Win-Stay Lose-Shift,Tit For Tat,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
104,8,8,0,Win-Shift Lose-Stay: D,Win-Shift Lose-Stay: D,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
104,8,8,0,Win-Shift Lose-Stay: D,Win-Shift Lose-Stay: D,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
105,8,8,1,Win-Shift Lose-Stay: D,Win-Shift Lose-Stay: D,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
105,8,8,1,Win-Shift Lose-Stay: D,Win-Shift Lose-Stay: D,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
106,8,9,0,Win-Shift Lose-Stay: D,Win-Stay Lose-Shift,DCCC,5,-10,4,1.25,-2.5,0,False,3,0,3,1,0,0,0,2,0,1,0,0,0,1
106,9,8,0,Win-Stay Lose-Shift,Win-Shift Lose-Stay: D,CDDD,15,10,4,3.75,2.5,1,True,1,0,1,3,0,0,0,0,1,0,2,0,0,0
107,8,9,1,Win-Shift Lose-Stay: D,Win-Stay Lose-Shift,DCCC,5,-10,4,1.25,-2.5,0,False,3,0,3,1,0,0,0,2,0,1,0,0,0,1
107,9,8,1,Win-Stay Lose-Shift,Win-Shift Lose-Stay: D,CDDD,15,10,4,3.75,2.5,1,True,1,0,1,3,0,0,0,0,1,0,2,0,0,0
108,9,9,0,Win-Stay Lose-Shift,Win-Stay Lose-Shift,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
108,9,9,0,Win-Stay Lose-Shift,Win-Stay Lose-Shift,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
109,9,9,1,Win-Stay Lose-Shift,Win-Stay Lose-Shift,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
109,9,9,1,Win-Stay Lose-Shift,Win-Stay Lose-Shift,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
